City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,ternate,0.8,127.4,26.65,80,100,2.9,ID,1690388913
157,tazovsky,67.4667,78.7,18.46,71,63,4.04,RU,1690388390
158,mercedes,-34.6515,-59.4307,15.53,55,6,6.81,AR,1690388914
159,vila franca do campo,37.7167,-25.4333,24.23,65,59,0.52,PT,1690388914
160,qujing,25.4833,103.7833,19.0,86,100,2.2,CN,1690388914
161,bengkulu,-3.8004,102.2655,24.89,90,36,2.91,ID,1690388914
162,koungheul,13.9833,-14.8,33.97,52,100,2.76,SN,1690388914
163,wuwei,37.9281,102.6414,22.88,47,100,0.89,CN,1690388914
164,kodiak,57.79,-152.4072,11.73,100,100,0.0,US,1690388395
165,yangjiang,21.85,111.9667,28.7,77,82,1.91,CN,1690388915
166,ghanzi,-21.5667,21.7833,22.5,23,0,3.14,BW,1690388915
167,cockburn town,21.4612,-71.1419,29.98,70,40,4.12,TC,1690388392
168,gaigeturi,33.4644,126.3183,27.03,94,75,1.54,KR,1690388915
169,puerto ayora,-0.7393,-90.3518,29.98,90,42,4.02,EC,1690388359
170,bintulu,3.1667,113.0333,26.88,86,98,2.03,MY,1690388915
171,glace bay,46.1969,-59.957,28.21,62,75,4.12,CA,1690388616
172,gangolli,13.65,74.6667,24.96,89,100,5.85,IN,1690388916
173,sabang,5.8933,95.3214,28.29,81,100,9.19,ID,1690388916
174,dakoro,14.5106,6.765,36.91,32,87,2.8,NE,1690388916
175,anadyr,64.75,177.4833,10.28,93,75,3.0,RU,1690388360
176,ulsteinvik,62.3432,5.8487,18.28,88,31,3.13,NO,1690388413
177,dudinka,69.4058,86.1778,21.46,69,0,3.98,RU,1690388394
178,isla aguada,18.7833,-91.4667,30.02,69,47,2.75,MX,1690388916
179,yemva,62.59,50.8594,18.81,66,99,1.43,RU,1690388916
180,mata-utu,-13.2816,-176.1745,26.49,76,99,7.29,WF,1690388917
181,cafayate,-26.073,-65.9761,19.02,24,0,3.98,AR,1690388917
182,kingston,17.997,-76.7936,34.02,63,20,3.6,JM,1690388389
183,touros,-5.1989,-35.4608,29.45,58,12,8.13,BR,1690388123
184,argo,37.6333,22.7333,34.88,13,6,6.18,GR,1690388917
185,coro,11.4045,-69.6734,30.94,62,59,3.58,VE,1690388918
186,ust-nera,64.5667,143.2,11.06,94,84,3.59,RU,1690388346
187,suva reka,42.3586,20.825,28.67,41,62,6.98,XK,1690388918
188,harper,4.375,-7.7169,26.14,83,66,5.1,LR,1690388383
189,port lincoln,-34.7333,135.8667,12.25,56,0,4.55,AU,1690388502
190,dingcheng,32.1272,115.0394,25.19,83,1,3.16,CN,1690388918
191,naze,28.3667,129.4833,27.51,84,100,5.12,JP,1690388918
192,shitanjing,39.2342,106.3439,25.91,42,100,0.47,CN,1690388918
193,tejen,37.3834,60.5054,37.87,22,2,11.4,TM,1690388407
194,toliara,-23.35,43.6667,22.72,41,0,6.68,MG,1690388919
195,belo sur tsiribihina,-19.7,44.55,20.85,82,4,3.46,MG,1690388919
196,solnechnyy,50.7214,136.6319,17.54,93,9,1.19,RU,1690388482
197,tura,25.5198,90.2201,24.38,94,100,2.48,IN,1690388363
198,xichang,27.8964,102.2634,20.55,92,99,1.04,CN,1690388919
199,altai,46.3722,96.2583,17.24,28,43,1.25,MN,1690388919
200,tofol,5.3248,163.0078,28.29,74,100,4.24,FM,1690388919
201,guerrero negro,27.9769,-114.0611,23.82,61,5,3.04,MX,1690388437
202,zaysan,47.4667,84.8667,25.5,24,80,2.55,KZ,1690388919
203,aasiaat,68.7098,-52.8699,3.39,86,52,3.78,GL,1690388340
204,la'ie,21.6477,-157.9253,25.98,77,60,6.53,US,1690388436
205,papatowai,-46.5619,169.4708,4.47,95,100,10.42,NZ,1690388327
206,sosnovo-ozerskoye,52.5249,111.5418,13.79,94,100,1.95,RU,1690388920
207,aoulef,26.9667,1.0833,46.35,8,2,4.09,DZ,1690388920
208,xai-xai,-25.0519,33.6442,18.64,69,53,5.04,MZ,1690388920
209,emerald,-23.5333,148.1667,12.5,70,1,4.54,AU,1690388921
210,gannan,47.9147,123.5031,20.74,82,62,0.44,CN,1690388921
211,badger,64.8,-147.5333,20.14,82,75,2.57,US,1690388356
212,taulaga,-11.0553,-171.0883,27.59,70,94,7.49,AS,1690388336
213,la manga del mar menor,37.6413,-0.7165,32.0,71,20,4.63,ES,1690388921
214,aktau,43.65,51.2,29.32,43,7,6.83,KZ,1690388786
215,flying fish cove,-10.4217,105.6791,24.82,88,100,3.09,CX,1690388336
216,karak city,31.1637,35.762,31.58,15,1,4.78,JO,1690388921
217,virginia beach,36.8529,-75.978,33.36,75,20,4.12,US,1690388874
218,santa elena de uairen,4.6167,-61.1333,25.2,69,66,2.53,VE,1690388484
219,tralee,52.2704,-9.7026,18.14,94,100,9.26,IE,1690388337
220,zaozersk,69.4005,32.4476,12.44,84,93,2.84,RU,1690388922
221,morehead,37.2711,-87.1764,28.86,77,100,3.09,US,1690388922
222,huntsville,34.7304,-86.5861,32.34,62,0,3.09,US,1690388764
223,west island,-12.1568,96.8225,24.99,83,100,11.83,CC,1690388332
224,sabana de torres,7.3915,-73.4957,32.34,85,100,0.36,CO,1690388923
225,pisco,-13.7,-76.2167,20.03,68,100,2.57,PE,1690388711
226,fort bragg,35.139,-79.006,34.95,55,20,0.0,US,1690388099
227,queenstown,-31.8976,26.8753,16.52,41,6,2.38,ZA,1690388923
228,shagonar,51.5333,92.8,18.0,61,49,0.97,RU,1690388923
229,fuglafjordur,62.244,-6.814,12.26,75,10,3.2,FO,1690388923
230,kristiansund,63.1115,7.732,18.36,72,75,4.63,NO,1690388439
231,konarka,19.9,86.1167,28.22,84,81,6.78,IN,1690388923
232,prado,-17.3411,-39.2208,25.0,63,17,3.59,BR,1690388923
233,kavaratti,10.5669,72.642,28.28,76,100,6.17,IN,1690388506
234,bardai,11.65,7.2333,32.92,38,34,2.67,NG,1690388924
235,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,1690388924
236,maumere,-8.6199,122.2111,23.92,78,55,3.7,ID,1690388924
237,ilulissat,69.2167,-51.1,7.32,59,0,2.67,GL,1690388330
238,cururupu,-1.8283,-44.8683,31.16,55,30,3.58,BR,1690388924
239,manta,-0.95,-80.7333,28.88,73,20,5.81,EC,1690388860
240,portland,45.5234,-122.6762,20.09,70,20,2.57,US,1690388242
241,torghay,49.6339,63.4981,24.8,51,45,5.27,KZ,1690388390
242,crane,31.3974,-102.3501,31.04,37,34,8.17,US,1690388925
243,siwa oasis,29.2041,25.5195,40.26,12,0,4.87,EG,1690388925
244,princeville,45.7668,-61.2985,27.57,64,75,4.12,CA,1690388925
245,san antonio de pale,-1.4014,5.6325,23.32,88,95,4.83,GQ,1690388925
246,bandar,2.05,99.75,24.1,88,68,1.25,ID,1690388925
247,lerwick,60.1545,-1.1494,14.0,74,75,5.04,GB,1690388925
248,timbiqui,2.7717,-77.6654,29.36,70,100,1.72,CO,1690388926
249,buka,40.8108,69.1986,32.62,12,1,2.82,UZ,1690388367
250,carnarvon,-24.8667,113.6333,16.65,58,65,7.68,AU,1690388355
251,eyl,7.9803,49.8164,25.31,76,50,11.63,SO,1690388926
252,spirit lake,43.4222,-95.1022,28.73,77,0,0.89,US,1690388926
253,vernon,50.2581,-119.2691,18.74,50,7,2.24,CA,1690388439
254,tual,-5.6667,132.75,25.83,82,97,9.21,ID,1690388410
255,center,31.5107,-96.4247,34.89,54,0,5.66,US,1690388926
256,ulan bator,47.9077,106.8832,12.07,82,20,2.0,MN,1690388927
257,beichengqu,40.4394,113.1536,18.48,83,83,0.78,CN,1690388927
258,hadim,36.9878,32.4567,26.89,22,0,3.75,TR,1690388927
259,san julian,21.0167,-102.1667,19.24,67,67,3.14,MX,1690388927
260,poronaysk,49.2167,143.1167,15.09,99,98,1.77,RU,1690388352
261,yepocapa,14.5042,-90.9569,23.62,39,29,0.64,GT,1690388928
262,milton-freewater,45.9326,-118.3877,22.42,49,1,0.45,US,1690388928
263,nova londrina,-22.7658,-52.985,29.58,37,64,5.03,BR,1690388933
264,brookings,44.3114,-96.7984,29.47,79,0,4.12,US,1690388902
265,la ronge,55.1001,-105.2842,17.14,67,100,4.63,CA,1690388896
266,sharypovo,55.5403,89.2008,15.82,79,9,2.77,RU,1690388933
267,pacific grove,36.6177,-121.9166,17.36,96,100,3.13,US,1690388420
268,san felipe,10.3399,-68.7425,32.42,47,49,2.86,VE,1690388933
269,bel ombre,-4.6167,55.4167,25.91,83,40,6.17,SC,1690388906
270,san juan de miraflores,-12.1629,-76.9635,21.21,76,34,3.29,PE,1690388933
271,udachny,66.4167,112.4,16.92,77,94,2.4,RU,1690388300
272,chokwe,-24.5333,32.9833,20.48,46,26,1.82,MZ,1690388934
273,tolanaro,-25.0319,46.9987,18.62,71,90,3.8,MG,1690388439
274,alesund,62.4723,6.1549,18.28,88,75,4.12,NO,1690388934
275,vargashi,55.3556,65.8467,20.66,56,67,1.0,RU,1690388934
276,susanville,40.4163,-120.653,25.62,27,0,1.34,US,1690388934
277,wanning,18.8003,110.3967,27.79,84,100,3.1,CN,1690388827
278,camana,-16.6228,-72.7111,19.44,74,25,4.11,PE,1690388502
279,mossel bay,-34.1831,22.146,11.96,75,96,2.98,ZA,1690388935
280,kemsing,51.306,0.2292,20.48,54,20,5.66,GB,1690388935
281,morondava,-20.2833,44.2833,22.71,74,0,6.21,MG,1690388461
282,issia,6.4922,-6.5856,27.6,76,76,1.62,CI,1690388935
283,houghton,47.1219,-88.569,21.71,93,100,5.14,US,1690388935
284,chonchi,-42.6128,-73.8092,9.51,83,100,1.23,CL,1690388363
285,aral,40.5156,81.2636,32.2,22,2,2.41,CN,1690388935
286,molina,-35.1167,-71.2833,7.98,86,100,2.06,CL,1690388935
287,mwanza,-2.5167,32.9,26.82,29,27,3.29,TZ,1690388936
288,tonekabon,36.8163,50.8738,24.97,80,48,0.93,IR,1690388936
289,williams lake,52.1415,-122.1445,13.36,83,75,2.06,CA,1690388936
290,pampa del infierno,-26.5052,-61.1744,17.69,58,100,3.99,AR,1690388936
291,clarksville,36.5298,-87.3595,29.8,71,0,4.12,US,1690388919
292,dabhol,17.6,73.1667,24.19,96,100,8.29,IN,1690388936
293,kodinsk,58.6881,99.1844,17.35,80,56,1.51,RU,1690388936
294,qaqortoq,60.7167,-46.0333,6.82,84,100,2.75,GL,1690388364
295,mount isa,-20.7333,139.5,19.87,68,100,4.63,AU,1690388759
296,mount gambier,-37.8333,140.7667,7.03,86,36,3.7,AU,1690388937
297,kapuskasing,49.4169,-82.4331,19.05,82,100,3.6,CA,1690388901
298,nar'yan-mar,67.6713,53.087,19.52,76,100,1.72,RU,1690388355
299,newman,37.3138,-121.0208,29.02,56,3,1.34,US,1690388381
300,saurimo,-9.6608,20.3916,29.85,19,2,1.31,AO,1690388398
301,palmer,42.1584,-72.3287,29.23,63,4,0.45,US,1690388937
302,taroa,8.7058,171.2275,27.71,80,97,7.91,MH,1690388937
303,namibe,-15.1961,12.1522,18.52,79,17,3.15,AO,1690388401
304,cruzeiro do sul,-29.5128,-51.9853,25.29,75,100,2.97,BR,1690388937
305,port shepstone,-30.7414,30.455,19.36,77,0,5.3,ZA,1690388781
306,ibarreta,-25.2144,-59.8585,21.57,53,92,3.8,AR,1690388937
307,guiuan,11.0333,125.7247,28.52,79,100,8.47,PH,1690388938
308,panjakent,39.4952,67.6093,30.2,24,27,3.09,TJ,1690388938
309,arkalyk,50.2486,66.9114,18.84,73,46,6.84,KZ,1690388938
310,chumphon,10.3333,98.8333,23.56,94,94,2.12,TH,1690388938
311,fortuna,40.5982,-124.1573,17.18,88,40,2.57,US,1690388640
312,asa,58.0167,14.6,14.71,58,54,5.86,SE,1690388938
313,lucapa,-8.4192,20.7447,31.22,17,4,1.51,AO,1690388938
314,tenango de las flores,20.2058,-97.9881,21.74,68,100,2.11,MX,1690388938
315,caleta de carquin,-11.0925,-77.6267,21.4,71,44,3.51,PE,1690388938
316,serenje,-13.2325,30.2352,16.4,44,7,2.41,ZM,1690388939
317,rovaniemi,66.5,25.7167,18.67,68,20,1.54,FI,1690388453
318,nizao,18.25,-70.2,29.04,59,100,8.0,DO,1690388939
319,goba,7.0167,39.9833,11.9,91,66,2.33,ET,1690388939
320,djidiouia,35.9299,0.8287,37.51,17,0,4.02,DZ,1690388939
321,sterling,39.0062,-77.4286,32.19,59,20,2.24,US,1690388939
322,camrose,53.0168,-112.8353,11.69,87,99,4.29,CA,1690388939
323,nueva gerona,21.8833,-82.8,31.12,63,45,6.15,CU,1690388939
324,hinatuan,8.3722,126.3342,25.78,88,100,2.0,PH,1690388940
325,jiexiu,37.0244,111.9125,25.5,57,40,2.13,CN,1690388940
326,el calafate,-50.3408,-72.2768,-2.31,73,22,0.12,AR,1690388940
327,uturoa,-16.7333,-151.4333,25.57,85,30,5.05,PF,1690388342
328,salekhard,66.53,66.6019,16.84,97,100,3.37,RU,1690388940
329,uray,60.1247,64.7758,19.14,69,80,2.24,RU,1690388940
330,sinazongwe,-17.2614,27.4618,21.79,50,98,1.87,ZM,1690388941
331,zheleznodorozhnyy,55.7503,38.0042,25.75,80,39,5.33,RU,1690388941
332,sao tome,0.3365,6.7273,24.55,86,84,5.42,ST,1690388941
333,kuanda,56.3161,116.0806,18.96,70,31,1.45,RU,1690388760
334,pierre,44.3683,-100.351,37.38,36,0,2.06,US,1690388941
335,champerico,14.3,-91.9167,32.3,62,8,1.15,GT,1690388824
336,labrador city,52.9463,-66.9114,20.95,49,75,5.14,CA,1690388942
337,brisas de zicatela,15.8369,-97.0419,32.29,62,40,3.09,MX,1690388361
338,oye-plage,50.9771,2.0428,22.25,59,82,7.48,FR,1690388942
339,tanjung pandan,-2.75,107.65,25.36,88,54,2.77,ID,1690388942
340,ada,43.4166,-116.1262,24.16,46,0,1.79,US,1690388942
341,mili,6.0815,171.735,27.46,80,100,3.57,MH,1690388942
342,chigorodo,7.6664,-76.6811,29.89,74,40,2.06,CO,1690388943
343,majie,25.0333,102.6361,19.99,77,20,4.0,CN,1690388946
344,howard springs,-12.497,131.047,19.95,72,16,2.2,AU,1690388946
345,khodzha-maston,38.7446,68.627,25.68,38,26,6.24,TJ,1690388947
346,priob'ye,62.5206,65.5964,16.39,92,100,2.59,RU,1690388947
347,rio san juan,19.6439,-70.0763,31.2,74,33,6.33,DO,1690388947
348,nishinoomote,30.7333,131.0,27.57,86,88,4.43,JP,1690388364
349,shangmei,27.7428,111.2956,24.18,96,100,0.86,CN,1690388947
350,severobaykal'sk,55.65,109.3167,10.58,98,93,0.83,RU,1690388947
351,ankang,32.68,109.0172,25.2,85,100,1.1,CN,1690388948
352,brenham,30.1669,-96.3977,34.43,57,40,3.6,US,1690388948
353,ballina,-28.8667,153.5667,11.55,73,14,1.7,AU,1690388934
354,tabuk,17.4189,121.4443,24.8,76,100,5.26,PH,1690388407
355,camiri,-20.05,-63.5167,19.88,45,75,0.0,BO,1690388948
356,nova xavantina,-14.6667,-52.35,34.82,22,0,2.38,BR,1690388653
357,danielskuil,-28.1887,23.5395,18.67,30,23,7.91,ZA,1690388949
358,yatou,37.15,122.3833,24.37,91,99,2.65,CN,1690388732
359,budva,42.2864,18.84,30.14,72,40,4.12,ME,1690388911
360,douentza,14.9951,-2.9517,39.45,24,53,2.1,ML,1690388950
361,bodden town,19.2833,-81.25,26.66,95,75,2.57,KY,1690388951
362,copala,16.65,-98.9833,31.72,53,56,1.73,MX,1690388786
363,kudahuvadhoo,2.6708,72.8944,28.36,77,99,4.34,MV,1690388308
364,araraquara,-21.7944,-48.1756,27.86,30,7,2.94,BR,1690388951
365,bubaque,11.2833,-15.8333,27.34,81,96,5.84,GW,1690388398
366,chaeryong-up,38.3992,125.6156,23.38,96,97,1.86,KP,1690388952
367,vrangel',42.7297,133.0839,21.2,91,98,2.29,RU,1690388952
